# Video Name Mapping - Copy/paste video names from this file
# Format: Clip_Index | Video_Name | Mouse_ID | Frame_Range
# ================================================================================

00000 | org-3-prod.study_428.cage_4522.2025-07-15.00.22.mp4 | Mouse 0 | Frames 102-132
00001 | org-3-prod.study_428.cage_4522.2025-07-15.00.22.mp4 | Mouse 1 | Frames 430-446
00002 | org-3-prod.study_428.cage_4522.2025-07-15.00.22.mp4 | Mouse 2 | Frames 450-470
00003 | org-3-prod.study_429.cage_4539.2025-08-17.22.36.mp4 | Mouse 0 | Frames 729-749
00004 | org-3-prod.study_443.cage_4823.2025-08-11.23.07.mp4 | Mouse 1 | Frames 241-264
00005 | org-3-prod.study_443.cage_4823.2025-08-11.23.07.mp4 | Mouse 1 | Frames 654-666
00006 | org-3-prod.study_443.cage_4823.2025-08-11.23.10.mp4 | Mouse 0 | Frames 109-139
00007 | org-3-prod.study_443.cage_4823.2025-08-11.23.10.mp4 | Mouse 0 | Frames 1685-1712
00008 | org-3-prod.study_443.cage_4823.2025-08-11.23.11.mp4 | Mouse 0 | Frames 1770-1783
00009 | org-3-prod.study_443.cage_4823.2025-08-11.23.11.mp4 | Mouse 2 | Frames 672-692
00010 | org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4 | Mouse 0 | Frames 431-451
00011 | org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4 | Mouse 0 | Frames 455-470
00012 | org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4 | Mouse 0 | Frames 719-742
00013 | org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4 | Mouse 0 | Frames 750-765
00014 | org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4 | Mouse 0 | Frames 769-784
00015 | org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4 | Mouse 0 | Frames 989-1011
00016 | org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4 | Mouse 1 | Frames 1384-1405
00017 | org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4 | Mouse 1 | Frames 1552-1571
00018 | org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4 | Mouse 0 | Frames 70-90
00019 | org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4 | Mouse 0 | Frames 339-352
00020 | org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4 | Mouse 0 | Frames 440-456
00021 | org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4 | Mouse 0 | Frames 582-594
00022 | org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4 | Mouse 0 | Frames 909-927
00023 | org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4 | Mouse 0 | Frames 1262-1275
00024 | org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4 | Mouse 2 | Frames 1042-1061
00025 | org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4 | Mouse 0 | Frames 749-760
00026 | org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4 | Mouse 1 | Frames 265-285
00027 | org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4 | Mouse 1 | Frames 312-318
00028 | org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4 | Mouse 1 | Frames 825-857
00029 | org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4 | Mouse 1 | Frames 1105-1121
00030 | org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4 | Mouse 1 | Frames 1790-1799
00031 | org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4 | Mouse 2 | Frames 1071-1087
00032 | org-3-uploads-stage.study_410.cage_4479.2025-07-30.11.10.mp4 | Mouse 2 | Frames 338-348
00033 | org-3-uploads-stage.study_410.cage_4479.2025-07-30.11.10.mp4 | Mouse 2 | Frames 587-609
00034 | org-3-uploads-stage.study_410.cage_4479.2025-07-30.11.10.mp4 | Mouse 2 | Frames 653-680
00035 | org-3-uploads-stage.study_410.cage_4480.2025-08-02.03.41.mp4 | Mouse 0 | Frames 59-73
00036 | org-3-uploads-stage.study_410.cage_4480.2025-08-02.03.41.mp4 | Mouse 0 | Frames 942-973
00037 | org-3-uploads-stage.study_410.cage_4480.2025-08-02.03.41.mp4 | Mouse 0 | Frames 1337-1370
00038 | org-3-uploads-stage.study_410.cage_4480.2025-08-02.03.41.mp4 | Mouse 1 | Frames 1327-1357
00039 | org-3-uploads-stage.study_410.cage_4480.2025-08-02.03.41.mp4 | Mouse 2 | Frames 1662-1672
00040 | org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4 | Mouse 2 | Frames 384-414
00041 | org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4 | Mouse 2 | Frames 546-565
00042 | org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4 | Mouse 2 | Frames 1399-1409
00043 | org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4 | Mouse 2 | Frames 1536-1555
00044 | org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4 | Mouse 2 | Frames 1573-1583
00045 | org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4 | Mouse 2 | Frames 1637-1657
00046 | org-3-uploads-stage.study_410.cage_4480.2025-08-05.22.24.mp4 | Mouse 0 | Frames 1383-1400
00047 | org-3-uploads-stage.study_410.cage_4480.2025-08-15.11.53.mp4 | Mouse 2 | Frames 1542-1572
00048 | org-3-uploads-stage.study_410.cage_4481.2025-08-01.22.32.mp4 | Mouse 1 | Frames 1097-1117
00049 | org-3-uploads-stage.study_410.cage_4481.2025-08-01.22.32.mp4 | Mouse 1 | Frames 1153-1167
00050 | org-3-uploads-stage.study_410.cage_4481.2025-08-01.22.32.mp4 | Mouse 1 | Frames 1394-1410
00051 | org-3-uploads-stage.study_410.cage_4481.2025-08-06.12.28.mp4 | Mouse 1 | Frames 821-832
00052 | org-3-uploads-stage.study_410.cage_4482.2025-07-13.13.55.mp4 | Mouse 1 | Frames 585-599
00053 | org-3-uploads-stage.study_410.cage_4482.2025-07-13.13.55.mp4 | Mouse 2 | Frames 766-786
