# Video Name Mapping - Copy/paste video names from this file
# Format: Clip_Index | Video_Name | Mouse_ID | Frame_Range
# ================================================================================

00000 | org-3-prod.study_429.cage_4539.2025-08-17.22.36.mp4 | Mouse 0 | Frames 729-749
00001 | org-3-prod.study_443.cage_4823.2025-08-11.23.11.mp4 | Mouse 2 | Frames 672-692
00002 | org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4 | Mouse 0 | Frames 989-1011
00003 | org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4 | Mouse 1 | Frames 1462-1479
00004 | org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4 | Mouse 1 | Frames 1552-1571
00005 | org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4 | Mouse 1 | Frames 1650-1667
00006 | org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4 | Mouse 2 | Frames 1042-1061
00007 | org-3-uploads-stage.study_410.cage_4479.2025-07-30.11.10.mp4 | Mouse 2 | Frames 587-609
00008 | org-3-uploads-stage.study_410.cage_4480.2025-08-02.03.41.mp4 | Mouse 0 | Frames 59-73
00009 | org-3-uploads-stage.study_410.cage_4480.2025-08-05.22.24.mp4 | Mouse 0 | Frames 1383-1400
00010 | org-3-uploads-stage.study_410.cage_4480.2025-08-15.11.53.mp4 | Mouse 2 | Frames 1542-1572
00011 | org-3-uploads-stage.study_410.cage_4481.2025-08-01.22.32.mp4 | Mouse 1 | Frames 1097-1117
00012 | org-3-uploads-stage.study_410.cage_4481.2025-08-06.12.28.mp4 | Mouse 1 | Frames 821-832
00013 | org-3-uploads-stage.study_410.cage_4482.2025-07-13.13.55.mp4 | Mouse 1 | Frames 585-599
00014 | org-3-uploads-stage.study_410.cage_4482.2025-07-14.06.51.mp4 | Mouse 1 | Frames 1-21
00015 | org-3-uploads-stage.study_410.cage_4482.2025-07-14.13.38.mp4 | Mouse 0 | Frames 135-154
00016 | org-3-uploads-stage.study_410.cage_4482.2025-07-14.13.38.mp4 | Mouse 1 | Frames 1236-1245
00017 | org-3-uploads-stage.study_410.cage_4482.2025-07-14.13.38.mp4 | Mouse 1 | Frames 1250-1265
00018 | org-3-uploads-stage.study_410.cage_4482.2025-07-16.07.13.mp4 | Mouse 0 | Frames 175-185
00019 | org-3-uploads-stage.study_410.cage_4482.2025-07-16.07.13.mp4 | Mouse 1 | Frames 1549-1569
00020 | org-3-uploads-stage.study_410.cage_4482.2025-07-30.05.49.mp4 | Mouse 2 | Frames 1349-1359
00021 | org-3-uploads-stage.study_410.cage_4482.2025-08-05.11.18.mp4 | Mouse 0 | Frames 1554-1568
00022 | org-3-uploads-stage.study_410.cage_4482.2025-08-05.11.18.mp4 | Mouse 2 | Frames 772-792
00023 | org-3-uploads-stage.study_410.cage_4483.2025-07-16.13.28.mp4 | Mouse 1 | Frames 1262-1272
00024 | org-3-uploads-stage.study_410.cage_4484.2025-07-14.16.12.mp4 | Mouse 2 | Frames 1026-1045
00025 | org-3-uploads-stage.study_410.cage_4484.2025-07-14.16.12.mp4 | Mouse 2 | Frames 1050-1071
00026 | org-3-uploads-stage.study_410.cage_4484.2025-07-30.14.19.mp4 | Mouse 2 | Frames 425-445
00027 | org-3-uploads-stage.study_410.cage_4486.2025-07-12.00.06.mp4 | Mouse 1 | Frames 1455-1478
00028 | org-3-uploads-stage.study_410.cage_4486.2025-07-16.13.08.mp4 | Mouse 1 | Frames 928-947
00029 | org-3-uploads-stage.study_410.cage_4486.2025-08-02.08.55.mp4 | Mouse 2 | Frames 73-93
00030 | org-3-uploads-stage.study_426.cage_4471.2025-07-10.01.56.mp4 | Mouse 0 | Frames 798-818
00031 | org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4 | Mouse 1 | Frames 319-329
00032 | org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4 | Mouse 1 | Frames 520-530
00033 | org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4 | Mouse 1 | Frames 722-732
00034 | org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4 | Mouse 1 | Frames 911-921
00035 | org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4 | Mouse 1 | Frames 1026-1054
00036 | org-3-uploads-stage.study_428.cage_4507.2025-07-13.05.44.mp4 | Mouse 2 | Frames 12-32
00037 | org-3-uploads-stage.study_439.cage_4751.2025-08-03.10.37.mp4 | Mouse 2 | Frames 564-584
00038 | org-3-uploads-stage.study_443.cage_4823.2025-08-12.08.42.mp4 | Mouse 0 | Frames 471-490
00039 | org-3-uploads-stage.study_443.cage_4823.2025-08-12.08.42.mp4 | Mouse 0 | Frames 1624-1634
00040 | org-3-uploads-stage.study_443.cage_4823.2025-08-12.08.42.mp4 | Mouse 1 | Frames 1624-1644
00041 | org-3-uploads-stage.study_447.cage_4838.2025-08-15.05.30.mp4 | Mouse 1 | Frames 772-792
00042 | org-3-uploads-stage.study_447.cage_4838.2025-08-15.05.30.mp4 | Mouse 2 | Frames 78-88
00043 | org-3-uploads-stage.study_447.cage_4840.2025-08-16.20.15.mp4 | Mouse 2 | Frames 1012-1022
00044 | org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4 | Mouse 0 | Frames 623-643
00045 | org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4 | Mouse 1 | Frames 331-341
00046 | org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4 | Mouse 2 | Frames 283-309
00047 | org-3-uploads-stage.study_447.cage_4840.2025-08-27.04.25.mp4 | Mouse 0 | Frames 181-201
00048 | org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4 | Mouse 2 | Frames 514-524
00049 | org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4 | Mouse 2 | Frames 1138-1158
00050 | org-3-uploads-stage.study_450.cage_4907.2025-08-20.00.11.mp4 | Mouse 0 | Frames 540-560
00051 | org-3-uploads-stage.study_460.cage_4977.2025-09-03.09.07.mp4 | Mouse 2 | Frames 1618-1634
00052 | org-3-uploads-stage.study_460.cage_4979.2025-09-04.05.45.mp4 | Mouse 0 | Frames 253-273
00053 | org-3-uploads-stage.study_460.cage_4979.2025-09-05.10.40.mp4 | Mouse 2 | Frames 1146-1166
00054 | org-3-uploads-stage.study_460.cage_4979.2025-09-05.10.40.mp4 | Mouse 2 | Frames 1216-1236
00055 | org-3-uploads-stage.study_460.cage_4984.2025-09-03.05.37.mp4 | Mouse 0 | Frames 446-456
00056 | org-3-uploads-stage.study_460.cage_4984.2025-09-03.05.37.mp4 | Mouse 0 | Frames 568-579
00057 | org-3-uploads-stage.study_460.cage_4986.2025-09-03.08.11.mp4 | Mouse 0 | Frames 1055-1075
00058 | org-3-uploads-stage.study_460.cage_4986.2025-09-03.08.11.mp4 | Mouse 0 | Frames 1608-1628
00059 | org-3-uploads-stage.study_470.cage_5032.2025-09-10.06.02.mp4 | Mouse 1 | Frames 1571-1591
00060 | org-3-uploads-stage.study_470.cage_5049.2025-09-09.00.30.mp4 | Mouse 2 | Frames 474-486
00061 | org-3-uploads-stage.study_476.cage_5056.2025-09-24.22.45.mp4 | Mouse 1 | Frames 1737-1757
00062 | org-9-uploads-stage.study_1013.cage_4988.2025-03-15.08.26.mp4 | Mouse 2 | Frames 172-192
00063 | org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.02.mp4 | Mouse 2 | Frames 1051-1070
00064 | org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4 | Mouse 0 | Frames 1003-1023
00065 | org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4 | Mouse 2 | Frames 974-994
00066 | org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.59.mp4 | Mouse 1 | Frames 400-410
00067 | org-9-uploads-stage.study_1174.cage_5991.2025-06-15.16.04.mp4 | Mouse 0 | Frames 1112-1120
